State,Caucus1Primary0,Open1Semi2Closed3,Kasich1,Trump1,Cruz1,Latitude,Longitude,state_abbreviation
Alabama,0,1,0,0,0,32.806671,-86.791130,
Alaska,1,3,0,0,0,61.370716,-152.404419,AK
Arizona,0,3,0,0,0,33.729759,-111.431221,AZ
Arkansas,0,1,0,0,0,34.969704,-92.373123,AR
California,0,3,0,0,0,36.116203,-119.681564,CA
Colorado,1,3,0,0,0,39.059811,-105.311104,CO
Connecticut,0,3,0,0,0,41.597782,-72.755371,CT
Delaware,0,3,0,0,0,39.318523,-75.507141,DE
Florida,0,3,0,0,0,27.766279,-81.686783,FL
Georgia,0,2,0,0,0,33.040619,-83.643074,GA
Hawaii,1,3,0,0,0,21.094318,-157.498337,HI
Idaho,0,3,0,0,0,44.240459,-114.478828,ID
Illinois,0,1,0,0,0,40.349457,-88.986137,IL
Indiana,0,1,0,0,0,39.849426,-86.258278,IN
Iowa,1,3,0,0,0,42.011539,-93.210526,IA
Kansas,1,3,0,0,0,38.526600,-96.726486,KS
Kentucky,1,3,0,0,0,37.668140,-84.670067,KY
Louisiana,0,3,0,0,0,31.169546,-91.867805,LA
Maine,1,3,0,0,0,44.693947,-69.381927,ME
Maryland,0,3,0,0,0,39.063946,-76.802101,MD
Massachusetts,0,2,0,0,0,42.230171,-71.530106,MA
Michigan,0,1,0,0,0,43.326618,-84.536095,MI
Minnesota,1,1,0,0,0,45.694454,-93.900192,MN
Mississippi,0,1,0,0,0,32.741646,-89.678696,MS
Missouri,0,1,0,0,0,38.456085,-92.288368,MO
Montana,0,3,0,0,0,46.921925,-110.454353,MT
Nebraska,0,3,0,0,0,41.125370,-98.268082,NE
Nevada,1,3,0,0,0,38.313515,-117.055374,NV
New Hampshire,0,2,0,0,0,43.452492,-71.563896,NH
New Jersey,0,2,0,0,0,40.298904,-74.521011,NJ
New Mexico,0,3,0,0,0,34.840515,-106.248482,NM
New York,0,3,0,1,0,42.165726,-74.948051,NY
North Carolina,0,2,0,0,0,35.630066,-79.806419,NC
North Dakota,1,3,0,0,0,47.528912,-99.784012,ND
Ohio,0,2,1,0,0,40.388783,-82.764915,OH
Oklahoma,0,3,0,0,0,35.565342,-96.928917,OK
Oregon,0,3,0,0,0,44.572021,-122.070938,OR
Pennsylvania,0,3,0,0,0,40.590752,-77.209755,PA
Rhode Island,0,2,0,0,0,41.680893,-71.511780,RI
South Carolina,0,1,0,0,0,33.856892,-80.945007,SC
South Dakota,0,3,0,0,0,44.299782,-99.438828,SD
Tennessee,0,1,0,0,0,35.747845,-86.692345,TN
Texas,0,1,0,0,1,31.054487,-97.563461,TX
Utah,1,2,0,0,0,40.150032,-111.862434,UT
Vermont,0,2,0,0,0,44.045876,-72.710686,VT
Virginia,0,1,0,0,0,37.769337,-78.169968,VA
Washington,0,3,0,0,0,47.400902,-121.490494,WA
West Virginia,0,2,0,0,0,38.491226,-80.954453,WV
Wisconsin,0,1,0,0,0,44.268543,-89.616508,WI
Wyoming,1,3,0,0,0,42.755966,-107.302490,WY
