,cluster,fips
AL,3,1001
AL,3,1003
AL,1,1005
AL,1,1007
AL,1,1009
AL,1,1011
AL,1,1013
AL,1,1015
AL,1,1017
AL,1,1019
AL,1,1021
AL,1,1023
AL,1,1025
AL,1,1027
AL,1,1029
AL,3,1031
AL,1,1033
AL,1,1035
AL,1,1037
AL,1,1039
AL,1,1041
AL,1,1043
AL,1,1045
AL,1,1047
AL,1,1049
AL,3,1051
AL,1,1053
AL,1,1055
AL,1,1057
AL,1,1059
AL,1,1061
AL,1,1063
AL,1,1065
AL,1,1067
AL,3,1069
AL,1,1071
AL,3,1073
AL,1,1075
AL,1,1077
AL,1,1079
AL,3,1081
AL,3,1083
AL,1,1085
AL,1,1087
AL,3,1089
AL,1,1091
AL,1,1093
AL,1,1095
AL,3,1097
AL,1,1099
AL,3,1101
AL,3,1103
AL,1,1105
AL,1,1107
AL,1,1109
AL,1,1111
AL,1,1113
AL,3,1115
AL,3,1117
AL,1,1119
AL,1,1121
AL,1,1123
AL,3,1125
AL,1,1127
AL,1,1129
AL,1,1131
AL,1,1133
AZ,1,4001
AZ,3,4003
AZ,0,4005
AZ,3,4007
AZ,3,4009
AZ,1,4011
AZ,1,4012
AZ,3,4013
AZ,3,4015
AZ,1,4017
AZ,3,4019
AZ,3,4021
AZ,3,4023
AZ,3,4025
AZ,1,4027
AR,1,5001
AR,1,5003
AR,3,5005
AR,3,5007
AR,1,5009
AR,1,5011
AR,1,5013
AR,3,5015
AR,1,5017
AR,1,5019
AR,1,5021
AR,1,5023
AR,1,5025
AR,1,5027
AR,1,5029
AR,3,5031
AR,1,5033
AR,1,5035
AR,1,5037
AR,1,5039
AR,1,5041
AR,1,5043
AR,3,5045
AR,1,5047
AR,1,5049
AR,3,5051
AR,1,5053
AR,1,5055
AR,1,5057
AR,1,5059
AR,1,5061
AR,1,5063
AR,1,5065
AR,1,5067
AR,1,5069
AR,1,5071
AR,1,5073
AR,1,5075
AR,1,5077
AR,1,5079
AR,1,5081
AR,1,5083
AR,3,5085
AR,1,5087
AR,1,5089
AR,1,5091
AR,1,5093
AR,1,5095
AR,1,5097
AR,1,5099
AR,1,5101
AR,1,5103
AR,1,5105
AR,1,5107
AR,1,5109
AR,1,5111
AR,1,5113
AR,1,5115
AR,1,5117
AR,3,5119
AR,1,5121
AR,1,5123
AR,3,5125
AR,1,5127
AR,1,5129
AR,1,5131
AR,1,5133
AR,1,5135
AR,1,5137
AR,1,5139
AR,1,5141
AR,3,5143
AR,1,5145
AR,1,5147
AR,1,5149
CA,2,6001
CA,0,6003
CA,0,6005
CA,0,6007
CA,0,6009
CA,3,6011
CA,2,6013
CA,3,6015
CA,0,6017
CA,3,6019
CA,0,6021
CA,0,6023
CA,3,6025
CA,0,6027
CA,3,6029
CA,3,6031
CA,3,6033
CA,3,6035
CA,2,6037
CA,3,6039
CA,2,6041
CA,0,6043
CA,0,6045
CA,3,6047
CA,3,6049
CA,0,6051
CA,0,6053
CA,2,6055
CA,0,6057
CA,2,6059
CA,0,6061
CA,0,6063
CA,0,6065
CA,0,6067
CA,0,6069
CA,0,6071
CA,2,6073
CA,2,6075
CA,3,6077
CA,2,6079
CA,2,6081
CA,2,6083
CA,2,6085
CA,2,6087
CA,0,6089
CA,0,6091
CA,3,6093
CA,0,6095
CA,2,6097
CA,3,6099
CA,3,6101
CA,3,6103
CA,0,6105
CA,3,6107
CA,0,6109
CA,2,6111
CA,0,6113
CA,3,6115
CO,3,8001
CO,3,8003
CO,0,8005
CO,0,8007
CO,1,8009
CO,1,8011
CO,0,8013
CO,0,8014
CO,0,8015
CO,1,8017
CO,0,8019
CO,1,8021
CO,1,8023
CO,1,8025
CO,0,8027
CO,3,8029
CO,0,8031
CO,3,8033
CO,0,8035
CO,2,8037
CO,0,8039
CO,0,8041
CO,3,8043
CO,0,8045
CO,0,8047
CO,0,8049
CO,0,8051
CO,0,8053
CO,3,8055
CO,3,8057
CO,0,8059
CO,1,8061
CO,3,8063
CO,3,8065
CO,0,8067
CO,0,8069
CO,3,8071
CO,1,8073
CO,3,8075
CO,0,8077
CO,0,8079
CO,3,8081
CO,3,8083
CO,3,8085
CO,3,8087
CO,1,8089
CO,2,8091
CO,0,8093
CO,3,8095
CO,2,8097
CO,1,8099
CO,3,8101
CO,3,8103
CO,3,8105
CO,2,8107
CO,3,8109
CO,0,8111
CO,2,8113
CO,1,8115
CO,2,8117
CO,0,8119
CO,1,8121
CO,3,8123
CO,3,8125
CT,2,9001
CT,0,9003
CT,0,9005
CT,0,9007
CT,0,9009
CT,0,9011
CT,0,9013
CT,0,9015
DE,3,10001
DE,0,10003
DE,0,10005
DC,2,11001
DC,2,11001
DC,2,11001
DC,2,11001
FL,3,12001
FL,3,12003
FL,3,12005
FL,1,12007
FL,3,12009
FL,3,12011
FL,1,12013
FL,3,12015
FL,1,12017
FL,3,12019
FL,0,12021
FL,1,12023
FL,1,12027
FL,1,12029
FL,3,12031
FL,3,12033
FL,3,12035
FL,3,12037
FL,1,12039
FL,1,12041
FL,1,12043
FL,3,12045
FL,1,12047
FL,1,12049
FL,1,12051
FL,1,12053
FL,1,12055
FL,3,12057
FL,1,12059
FL,3,12061
FL,1,12063
FL,3,12065
FL,1,12067
FL,3,12069
FL,3,12071
FL,3,12073
FL,1,12075
FL,1,12077
FL,1,12079
FL,3,12081
FL,3,12083
FL,3,12085
FL,3,12086
FL,2,12087
FL,3,12089
FL,3,12091
FL,1,12093
FL,3,12095
FL,3,12097
FL,3,12099
FL,3,12101
FL,3,12103
FL,1,12105
FL,1,12107
FL,0,12109
FL,3,12111
FL,3,12113
FL,3,12115
FL,3,12117
FL,3,12119
FL,1,12121
FL,1,12123
FL,1,12125
FL,3,12127
FL,3,12129
FL,3,12131
FL,1,12133
GA,1,13001
GA,1,13003
GA,1,13005
GA,1,13007
GA,1,13009
GA,3,13011
GA,3,13013
GA,3,13015
GA,1,13017
GA,1,13019
GA,3,13021
GA,1,13023
GA,1,13025
GA,1,13027
GA,3,13029
GA,3,13031
GA,1,13033
GA,3,13035
GA,1,13037
GA,3,13039
GA,1,13043
GA,1,13045
